149.57.180.75 - - [31/Mar/2025:00:28:07 +0000] "GET / HTTP/1.1" 200 4893 "-" "Mozilla/5.0 (X11; Linux i686; rv:109.0) Gecko/20100101 Firefox/120.0"
89.104.101.29 - - [31/Mar/2025:01:00:20 +0000] "GET / HTTP/1.1" 200 4834 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.61 Safari/537.36"
89.104.111.40 - - [31/Mar/2025:01:00:21 +0000] "GET /favicon.ico HTTP/1.1" 404 4177 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.61 Safari/537.36"
89.104.111.40 - - [31/Mar/2025:01:00:23 +0000] "GET /favicon.ico HTTP/1.1" 404 363 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.61 Safari/537.36"
45.148.10.98 - - [31/Mar/2025:01:16:58 +0000] "GET /.git/config HTTP/1.1" 404 4164 "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 12_1_4 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/16D57 MicroMessenger/7.0.5(0x17000523) NetType/WIFI Language/zh_CN"
45.148.10.98 - - [31/Mar/2025:01:23:03 +0000] "GET /.git/config HTTP/1.1" 404 4164 "-" "Mozilla/5.0 (Linux; Android 8.0.0; MI 6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.101 Mobile Safari/537.36"
51.81.245.138 - - [31/Mar/2025:05:14:43 +0000] "GET / HTTP/1.1" 200 4893 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
51.81.245.138 - - [31/Mar/2025:05:14:44 +0000] "GET /favicon.ico HTTP/1.1" 404 4264 "-" "python-requests/2.25.1"
103.42.175.124 - - [31/Mar/2025:16:02:40 +0000] "GET / HTTP/2.0" 200 7851 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36"
103.42.175.124 - - [31/Mar/2025:16:02:41 +0000] "GET /assets/frontend/css/style.css HTTP/2.0" 200 16234 "https://bocdemosite.sacloud.online/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36"
103.42.175.124 - - [31/Mar/2025:16:02:41 +0000] "GET /assets/frontend/css/header.css HTTP/2.0" 200 645 "https://bocdemosite.sacloud.online/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36"
103.42.175.124 - - [31/Mar/2025:16:02:41 +0000] "GET /assets/frontend/css/footer.css HTTP/2.0" 200 362 "https://bocdemosite.sacloud.online/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36"
103.42.175.124 - - [31/Mar/2025:16:02:41 +0000] "GET /assets/frontend/images/icons/hamburger-menu.svg HTTP/2.0" 200 339 "https://bocdemosite.sacloud.online/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36"
103.42.175.124 - - [31/Mar/2025:16:02:41 +0000] "GET /assets/frontend/images/brand-logo-tagline.svg HTTP/2.0" 200 44351 "https://bocdemosite.sacloud.online/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36"
103.42.175.124 - - [31/Mar/2025:16:02:41 +0000] "GET /assets/frontend/images/search-icon.svg HTTP/2.0" 200 373 "https://bocdemosite.sacloud.online/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36"
103.42.175.124 - - [31/Mar/2025:16:02:41 +0000] "GET /assets/frontend/images/lang-globe.svg HTTP/2.0" 200 2840 "https://bocdemosite.sacloud.online/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36"
103.42.175.124 - - [31/Mar/2025:16:02:41 +0000] "GET /assets/frontend/js/global-custom.js HTTP/2.0" 200 2261 "https://bocdemosite.sacloud.online/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36"
